extension	延長|増大	anc
chain	鎖	anc
encourage	を励ます|を促進する	anc
wife	妻	anc
counter	カウンター|計算機	anc
army	軍隊|陸軍	anc
paperback	紙表紙本|ペーパーバック(版)	anc
emergency	緊急事態	anc
seek	を求める|得ようとする	anc
justice	正当性|公正|正義|裁判|裁判官|司法|司法官	anc
gene	遺伝子	anc
respective	それぞれの	anc
parent	親	anc
refer	(refer to)に言及する|を指示する|を参照する	anc
blow	鼻をかむ|風が吹く|とぶ|息を吹く|打撃|(不意の)精神的打撃|殴り合い|発表する|自慢する|笛が鳴る|(俗)コカイン	anc
monthly	毎月の|月1回の|月経の|毎月|月間刊行物|月経|月刊誌	anc
dictionary	辞書	anc
brief	要点を伝える|概要を作る|簡潔な|摘要|訴訟事件|短時間の|簡単な声明	original
helpful	助けになる|役立った|有用な|役に立つ	anc
critical	批判的な|重大な|危機的な|きわどい|臨界の	anc
subscription	予約購読(料)|引受|申込|寄付(金)|署名|認可	anc
prove	を証明する|とわかる	anc
appeal	に訴える|に求める|を引きつける|魅力|訴え	anc
religion	信条|宗教|宗旨|宗派|信仰|儀式|宗教学	anc
height	高いところ|高さ|高地|絶頂	anc
bridge	に橋をかける|橋をかける|空間を埋める|歯の矯正治具	anc
palm	掌|手のひら(状の物)|手尺|あて革|ヤシ|シュロ|シュロの葉(勝利の象徴)	anc
advantage	好都合|有利|利益|長所|便宜|利点|強み	anc
mouse	ハツカネズミ(ratはドブネズミで大きい)|臆病物|かわいい子	original
employee	従業員	anc
lee	残りかす|保護|物陰|風下の|風下	original
revenue	国家の歳入|都市|国税庁|利益|総収入|所得|財源|税務局|国税局	anc
satellite	衛星|人工衛星|衛星国|衛星の|衛星中継する	anc
tag	に下げ札をつける|決まり文句|荷札|金具|尾|巻き毛|ナンバープレート	anc
quantity	量的な|分量|量|数量|額|多量|音量|期間	anc
movement	動き|動くこと|動作|運動|成り行き|展開|変動	anc
league	盟約を結ぶ(結ばせる)|同盟|連盟|仲間|同盟する(させる)	anc
relevant	関連した|適切な	anc
weekend	週末	anc
weekly	毎週の|毎週|週刊誌	anc
professor	教授|教師|先生|師匠	anc
pain	苦痛|痛み	anc
lock	に錠をかける|を動かなくする|を抱きしめる|を閉じこめる|水門|ドアロック|錠	anc
virus	ウイルス|ビールス|病原体|病毒|害悪	anc
newspaper	新聞|新聞紙	anc
catch	をつかまえる|(病気)にかかる|を捕らえる	anc
attention	注意|心遣い|世話|親切	anc
ice	氷|氷原|氷菓子|氷る|を冷やす|を凍らせる|凍らす	anc
pocket	ポケット|一袋|懐中|金銭|くぼみ|玉受け	anc
architecture	建築術|建築|構造|建設|アーキテクチャ|基本設計概念|建築学	anc
expect	期待する|を予期する|予想する	anc
plate	めっきする|板金|皿|金属製食器類|板|表札|図版|義歯|(野球)ホームプレート	anc
secret	秘密の|機密|内緒の(事)	anc
disc	レコード|円盤	anc
fuel	燃料|核燃料	anc
bond	債券|保証証券|保釈金	anc
fix	固定する|修理する|整える|元の状態に戻す|(口)麻薬の注射|(応急的)処置|八百長	anc
guitar	ギター	anc
context	前後関係|状況|文脈|背景	anc
engineer	技術系社員|(陰謀など)をたくらむ|設計されている	anc
draft	草案|為替手形|設計図|下書き|図面|徴兵(conscription)|ドラフト|通風	anc
coverage	新聞報道|範囲|事件の報道|報道範囲|取材|保険	anc
priority	優先|優先順位|前であること|より重要であること	anc
species	種|人類|種類	anc
volunteer	ボランティア|ボランティアの|有志の	anc
documentation	書類の作成	anc
facility	たやすさ|容易さ|設備|施設|腕前	anc
random	でたらめな|手当たり次第の|無作為の|任意の	anc
favourite	favoriteの英国綴り	anc
attend	気をつける|に出席する|参会する|伴なう|随行する|看護する	anc
reflect	反映する|反射する|よく考える	anc
operator	(少し皮肉っぽく)敏腕な人|やり手|機械運転者|交換手|経営者|相場師|手術者|演算子|通信士	anc
quarter	4分の1|15分|25セント|地区|地帯|寛大|街	anc
coach	大型四輪馬車|客車|長距離バス	anc
vendor	行商人|露店商人	anc
partnership	協同経営|協力|提携|共同|協調	anc
whose	その|だれの	anc
cold	風邪|冷たい	anc
joint	共同の|継ぎ目|関節|(俗)たまり場|レストラン|ナイトクラブなど	anc
leather	なめし皮|皮革	anc
template	テンプレート|定形書式|鋳型	original
confirm	確かめる|確実にする|強固にする|強化する	anc
abuse	の悪口を言う|濫用(する)|悪用(する)|虐待(する)	anc
automotive	自動の	anc
corner	角|隅|窮地	anc
cast	傾向|配役|外観|投げる|計算する|目を向ける|くじを引く|と別れる	anc
naked	ありのままの|裸の|むき出しの|無防備の	anc
beat	(続けざまに)打つ|負かす|巡回区域	anc
fantasy	空想|ファンタジー|想像|気まぐれ|空想文学作品|空想の産物|荒唐無稽|幻	anc
initial	頭文字|初の	anc
tape	(平らな)ひも|テープ|接着テープ|粘着テープ|巻き尺	anc
scene	シーン|現場|場面|舞台|眺め	anc
successful	成功した	anc
employer	雇用者|雇い主	anc
clinical	診療所の|臨床の|臨床治療の|客観的な態度の	anc
sit	すわる|すわっている	anc
comparison	比較|たとえ	anc
coffee	コーヒー	anc
highly	高く|非常に|高度に|高貴に	anc
premium	割増価格|割増金|賞与金|賞|賞金|賞品|賞与|割り増し	anc
dynamic	動力の|動的な|力学の|動的	anc
actual	事実上の|現在の|現実の	anc
spot	スポット|地点|しみ|吹き出物|見つける|見抜く|しみがつく	anc
configuration	形状|配列|認識|(天文)星座|(IT)機器構成	anc
foot	足|フィート(1フィートは約305cm, 12inches)	original
rich	豊かな|お金持ちの	anc
patient	がまん強い|忍耐強い|辛抱強い|根気よく働く|患者	anc
lodge	泊まる|を預ける|提起する|を提供する|ゆだねる|観光地の旅館|山小屋|(弾が)入って止まる|(矢が)付き刺さる	anc
wild	野蛮な|野生の|荒れ果てた|荒っぽい|でたらめに|荒野|未開地	anc
historical	史実に基づく|歴史の|史学の|歴史上の|歴史に基づく	anc
commerce	商業|貿易|交易|交際|商学|コマース	anc
perhaps	たぶん|おそらく	anc
difficult	難しい	anc
